Title,Topic,Crop,Method,Finding,Context
AI for tomato harvest maturity detection,Harvest maturity,Tomato,Computer vision,Computer vision can classify tomato maturity stages using colour and surface features,Useful for low-cost decision support in warm-chain horticultural systems
NIR spectroscopy for avocado maturity,Internal quality,Avocado,Near-infrared spectroscopy,NIR can estimate dry matter and oil content as indicators of harvest maturity,Useful where non-destructive maturity testing is needed
Smartphone tools for smallholder farmers,AI adoption,Horticultural crops,Mobile AI,Smartphone-based tools can support harvest timing grading disease diagnosis and market readiness,Relevant for resource-constrained LMIC farming systems
Warm-chain losses in fresh produce,Postharvest losses,Fruits and vegetables,Postharvest assessment,Warm-chain conditions increase respiration water loss microbial decay and quality deterioration,Important in systems with limited cold storage
Machine learning for fruit quality prediction,Quality prediction,Mango,Machine learning,Machine learning models can link visual spectral and physiological indicators to maturity and quality,Useful for predicting shelf life and market suitability
Low-cost AI for agricultural decision support,AI deployment,Multiple crops,Edge AI,Offline and lightweight AI models may support farmers where internet connectivity is weak,Relevant for rural and resource-limited environments
Edible coatings for tomato shelf life,Shelf life extension,Tomato,Edible coating,Edible coatings reduce moisture loss slow respiration delay ripening and limit microbial decay,Useful for reducing postharvest losses after harvest
Hyperspectral imaging for fruit maturity,Maturity assessment,Apple and mango,Hyperspectral imaging,Hyperspectral data can detect internal and external maturity-related quality traits,Useful for high-accuracy research and commercial grading systems
Barriers to AI use in LMIC agriculture,Adoption barriers,Smallholder systems,Literature review,High cost limited connectivity weak extension support and low technical capacity reduce AI adoption,Important for designing inclusive AI tools
AI-enabled harvest decision systems,Decision support,Horticultural crops,AI decision support,AI tools reduce losses only when linked to practical decisions such as when to harvest sort sell and handle produce,Important for value chain deployment
